UF,obitos,populacao,taxa
AC,4,790101,0.00506264389
AL,22,3321730,0.006623054854
AP,2,750912,0.002663427938
AM,16,3873743,0.004130372097
BA,161,15126371,0.01064366331
CE,108,8842791,0.01221333853
DF,27,2852372,0.009465806003
ES,55,3885049,0.0141568356
GO,39,6523222,0.005978640617
MA,51,6850884,0.00744429478
MT,13,3224357,0.004031811614
MS,25,2619657,0.009543234095
MG,211,20734097,0.01017647405
PB,27,8073924,0.003344098855
PA,36,3943885,0.009128055204
PR,95,11081692,0.008572698104
PE,110,9277727,0.01185635232
PI,43,3194718,0.01345971695
RJ,154,16461173,0.009355347884
RN,40,3408510,0.01173533303
RS,139,11207274,0.0124026592
RO,8,1748531,0.004575269183
RR,0,496936,0
SC,58,6727148,0.008621781474
SP,326,44035304,0.00740315089
SE,35,2219574,0.01576879167
TO,20,1496880,0.01336112447
