Codigo;Label
1;aracaju
2;belem
3;belo horizonte
4;boa vista
5;campo grande
6;cuiaba
7;curitiba
8;florianopolis
9;fortaleza
10;goiania
11;joao pessoa
12;macapa
13;maceio
14;manaus
15;natal
16;palmas
17;porto alegre
18;porto velho
19;recife
20;rio branco
21;rio de janeiro
22;salvador
23;sao luis
24;sao paulo
25;teresina
26;vitoria
27;distrito federal
1;centro-oeste
2;nordeste
3;norte
4;sudeste
5;sul
1;masculino
2;feminino
1;solteiro
2;casado legalmente
3;tem união estável há mais de seis meses
4;viúvo
5;separado ou divorciado
888;não quis informar
1;curso primário
2;admissão
3;curso ginasial ou ginásio
4;1º grau ou fundamental ou supletivo de 1º grau
5;2º grau ou colégio ou técnico ou normal ou científico científico ou ensino médio ou supletivo de 2º grau
6;3º grau ou curso superior
7;pós-graduação (especialização, mestrado, doutorado)
8;nunca estudou
777;não sabe
888;não quis responder
1;sim
2;não
888;não quis informar
777;não sabe
888;não quis informar
777;não sabe
888;não quis informar
1;sim
2;não
777;não sabe
1;1 a 2 dias por semana
2;3 a 4 dias por semana
3;5 a 6 dias por semana
4;todos os dias ( inclusive sábado e domingo)
5;quase nunca
6;nunca
1;1 a 2 dias por semana
2;3 a 4 dias por semana
3;5 a 6 dias por semana
4;todos os dias ( inclusive sábado e domingo)
5;quase nunca
6;nunca
1;1 a 2 dias por semana
2;3 a 4 dias por semana
3;5 a 6 dias por semana
4;todos os dias ( inclusive sábado e domingo)
5;quase nunca
6;nunca
1;no almoço (1 vez no dia)
2;no jantar
3;no almoço e no jantar (2 vezes no dia)
1;1 a 2 dias por semana
2;3 a 4 dias por semana
3;5 a 6 dias por semana
4;todos os dias ( inclusive sábado e domingo)
5;quase nunca
6;nunca
1;no almoço (1 vez no dia)
2;no jantar
3;no almoço e no jantar (2 vezes no dia)
1;1 a 2 dias por semana
2;3 a 4 dias por semana
3;5 a 6 dias por semana
4;todos os dias ( inclusive sábado e domingo)
5;quase nunca
6;nunca
1;tirar sempre o excesso de gordura
2;comer com a gordura
3;não come carne vermelha com muita gordura
1;1 a 2 dias por semana
2;3 a 4 dias por semana
3;5 a 6 dias por semana
4;todos os dias ( inclusive sábado e domingo)
5;quase nunca
6;nunca
1;tirar sempre a pele
2;comer com a pele
3;não come pedaços de frango com pele
1;1 a 2 dias por semana
2;3 a 4 dias por semana
3;5 a 6 dias por semana
4;todos os dias ( inclusive sábado e domingo)
5;quase nunca
6;nunca
1;1 copo
2;2 copos
3;3 ou mais copos
1;1 a 2 dias por semana
2;3 a 4 dias por semana
3;5 a 6 dias por semana
